created_at,entry_id,0.3um/dl,0.5um/dl,1.0um/dl,2.5um/dl,5.0um/dl,10.0um/dl,PM1.0_CF_1_ug/m3,PM10_CF_1_ug/m3
2018-11-01 00:00:31 UTC,69625,555.47,155.76,17.8,2.51,1.04,0.4,1.04,0.4
2018-11-01 00:01:51 UTC,69626,616.8,174.98,18.96,0.38,0.33,0.33,0.33,0.33
2018-11-01 00:03:11 UTC,69627,554.4,158.67,18.76,2.69,0.42,0.27,0.42,0.27
2018-11-01 00:04:31 UTC,69628,543.32,149.47,12.26,1.34,0.74,0.27,0.74,0.27
2018-11-01 00:05:51 UTC,69629,537.33,154.22,14.27,1.22,0.89,0.53,0.89,0.53
2018-11-01 00:07:11 UTC,69630,501.87,135.31,15.96,1.87,0.67,0.27,0.67,0.27
2018-11-01 00:08:31 UTC,69631,489.07,135.37,22.59,2,1.04,0.27,1.04,0.27
2018-11-01 00:09:51 UTC,69632,525.75,143.25,16.82,2.23,0.82,0.41,0.82,0.41
2018-11-01 00:11:11 UTC,69633,499.17,130.91,16.11,2.37,1.65,0.61,1.65,0.61
2018-11-01 00:12:31 UTC,69634,534.85,149.48,15.33,1.98,0.91,0.61,0.91,0.61
2018-11-01 00:13:51 UTC,69635,576.07,159.2,22.34,1.09,0.91,0.61,0.91,0.61
2018-11-01 00:15:11 UTC,69636,505.85,136.51,18.26,2.89,0.53,0.26,0.53,0.26
2018-11-01 00:16:31 UTC,69637,549.8,149.49,16.36,2.11,0.53,0.26,0.53,0.26
2018-11-01 00:17:51 UTC,69638,536.4,150.22,26.24,2.07,1.6,0.47,1.6,0.47
2018-11-01 00:19:11 UTC,69639,517.83,146.17,15.8,2.54,0.83,0.24,0.83,0.24
2018-11-01 00:20:31 UTC,69640,587.4,167.96,16.87,1.13,0.4,0.4,0.4,0.4
2018-11-01 00:21:51 UTC,69641,569.49,164.26,20.72,3.62,1,0.62,1,0.62
2018-11-01 00:23:11 UTC,69642,564,152.89,18.29,2.02,0.82,0.27,0.82,0.27
2018-11-01 00:24:31 UTC,69643,595.13,162.6,23.87,4.51,2.62,2.38,2.62,2.38
2018-11-01 00:25:51 UTC,69644,509.68,139.43,14.85,2.51,0.23,0.15,0.23,0.15
2018-11-01 00:27:11 UTC,69645,583.4,163.8,16.53,1.64,0.51,0.15,0.51,0.15
2018-11-01 00:28:31 UTC,69646,597.37,165.94,22.04,4,1.33,0.56,1.33,0.56
2018-11-01 00:29:51 UTC,69647,574.2,160.22,23.44,1.93,0.47,0.56,0.47,0.56
2018-11-01 00:31:11 UTC,69648,574.07,165.42,17.82,1.22,0.62,0.56,0.62,0.56
2018-11-01 00:32:31 UTC,69649,582.39,163.48,17.65,1.24,0.72,0.24,0.72,0.24
2018-11-01 00:33:51 UTC,69650,602.4,176.93,18.69,1.91,0.24,0.24,0.24,0.24
2018-11-01 00:35:11 UTC,69651,612.32,174.4,19.17,2.43,0.64,0.32,0.64,0.32
2018-11-01 00:36:31 UTC,69652,982,281.91,44.56,1.62,0.6,0.32,0.6,0.32
2018-11-01 00:37:51 UTC,69653,917.67,251.58,36.98,3.98,1.13,1.13,1.13,1.13
2018-11-01 00:39:11 UTC,69654,813.39,226.78,33.83,4.59,2.54,0.41,2.54,0.41
2018-11-01 00:40:31 UTC,69655,841.07,244.62,33.22,2,0.4,0.4,0.4,0.4
2018-11-01 00:41:51 UTC,69656,735.64,220.4,35.62,2.3,0.17,0.4,0.17,0.4
2018-11-01 00:43:11 UTC,69657,815.07,237.4,27.38,3,0.87,0.27,0.87,0.27
2018-11-01 00:44:31 UTC,69658,775.4,221.58,29.09,2.91,0.31,0.13,0.31,0.13
2018-11-01 00:45:51 UTC,69659,795.26,225.5,34.85,3.41,0.63,0.24,0.63,0.24
2018-11-01 00:47:11 UTC,69660,747.2,221.61,27.68,1.57,0.61,0.36,0.61,0.36
2018-11-01 00:48:31 UTC,69661,795,222.89,32.14,1.86,0.25,0.36,0.25,0.36
2018-11-01 00:49:51 UTC,69662,701.23,204.4,33.45,2.11,0.02,0.36,0.02,0.36
2018-11-01 00:51:11 UTC,69663,763.16,219.89,39.45,5.23,1.98,0.48,1.98,0.48
2018-11-01 00:52:31 UTC,69664,684.96,192.68,26.3,2.13,1.32,0.17,1.32,0.17
2018-11-01 00:53:51 UTC,69665,717.73,199.67,27.87,2.31,0.24,0.24,0.24,0.24
2018-11-01 00:55:11 UTC,69666,768.33,213.53,31.73,1.73,0.53,0.53,0.53,0.53
2018-11-01 00:56:31 UTC,69667,679.66,190.64,31.53,1.94,0.13,0.13,0.13,0.13
2018-11-01 00:57:51 UTC,69668,736.36,204.77,27.07,1.55,1.3,0.5,1.3,0.5
2018-11-01 00:59:11 UTC,69669,773.3,221.51,34.66,2.36,0.64,0.5,0.64,0.5
2018-11-01 01:00:31 UTC,69670,760.13,210.4,38.02,6.16,2.73,0.5,2.73,0.5
2018-11-01 01:01:51 UTC,69671,697.4,195.38,28.73,1.69,0.24,0.5,0.24,0.5
2018-11-01 01:03:11 UTC,69672,785.67,219.37,24.89,3.04,1.15,0.65,1.15,0.65
2018-11-01 01:04:31 UTC,69673,813.33,224.11,30.2,5.87,1.44,1.18,1.44,1.18
2018-11-01 01:05:51 UTC,69674,678.57,199.36,26.6,1.53,0.98,1.18,0.98,1.18
2018-11-01 01:07:11 UTC,69675,797.52,232.05,36.05,3.57,0.91,0.7,0.91,0.7
2018-11-01 01:08:31 UTC,69676,686.87,195.52,30.11,3.28,2.76,0.83,2.76,0.83
2018-11-01 01:09:51 UTC,69677,755.09,219.85,27.15,1.54,0.98,0.83,0.98,0.83
2018-11-01 01:11:11 UTC,69678,829.2,227.31,33.56,4.09,0.96,0.29,0.96,0.29
2018-11-01 01:12:31 UTC,69679,869.81,243.98,38.62,4.32,1.62,0.96,1.62,0.96
2018-11-01 01:13:51 UTC,69680,765.93,212.89,30.6,3.31,1.18,0.62,1.18,0.62
2018-11-01 01:15:11 UTC,69681,856.38,241.33,35.19,3.85,2.31,0.94,2.31,0.94
2018-11-01 01:16:31 UTC,69682,833.67,231,35.49,3.58,1.38,1.38,1.38,1.38
2018-11-01 01:17:51 UTC,69683,958.04,265.93,44.72,6.11,0.74,0.74,0.74,0.74
2018-11-01 01:19:11 UTC,69684,1033.57,288.67,40.39,5.04,0.83,0.24,0.83,0.24
2018-11-01 01:20:31 UTC,69685,983.27,280.36,43.87,3.96,0.93,0.42,0.93,0.42
2018-11-01 01:21:51 UTC,69686,920.94,263.11,37.55,3.45,1.26,0.26,1.26,0.26
2018-11-01 01:23:11 UTC,69687,951.8,269.09,46.87,4.49,2.38,1,2.38,1
2018-11-01 01:24:31 UTC,69688,910.31,252.85,33.54,4.17,1.52,0.58,1.52,0.58
2018-11-01 01:25:51 UTC,69689,963,269.45,46.89,5.3,1.23,0.5,1.23,0.5
2018-11-01 01:27:11 UTC,69690,1043.66,299.61,47.39,1.93,0.66,0.32,0.66,0.32
